problem,model,data_file
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t007-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t008-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t009-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t010-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t011-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t012-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t013-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t014-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t015-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t016-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t017-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t018-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-04.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-05.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t019-06.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t020-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t020-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t020-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t021-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t021-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t021-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t022-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t022-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t022-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t025-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t025-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t025-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t030-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t030-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t030-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t035-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t035-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t035-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t040-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t040-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t040-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t045-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t045-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t045-03.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t050-01.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t050-02.dzn
appear-cp2025,../models/solve_sat.mzn:../models/pddl-print.mzn,appear-cp2025/appear-t050-03.dzn
