problem,model,data_file
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-01.dzn:cp2025/t003-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-03.dzn:cp2025/t003-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t035-02.dzn:cp2025/t035-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-06.dzn:cp2025/t013-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-03.dzn:cp2025/t011-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-06.dzn:cp2025/t001-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-02.dzn:cp2025/t011-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t035-03.dzn:cp2025/t035-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-02.dzn:cp2025/t003-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t025-02.dzn:cp2025/t025-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-06.dzn:cp2025/t003-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-03.dzn:cp2025/t013-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-06.dzn:cp2025/t011-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-03.dzn:cp2025/t001-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-02.dzn:cp2025/t001-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-02.dzn:cp2025/t013-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t025-03.dzn:cp2025/t025-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t025-01.dzn:cp2025/t025-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-05.dzn:cp2025/t003-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-05.dzn:cp2025/t011-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t001-01.dzn:cp2025/t001-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t011-04.dzn:cp2025/t011-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t013-01.dzn:cp2025/t013-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t003-04.dzn:cp2025/t003-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-02.dzn:cp2025/t017-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t021-03.dzn:cp2025/t021-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-02.dzn:cp2025/t009-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t050-03.dzn:cp2025/t050-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-02.dzn:cp2025/t005-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-06.dzn:cp2025/t015-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-03.dzn:cp2025/t005-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t050-02.dzn:cp2025/t050-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-06.dzn:cp2025/t007-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-03.dzn:cp2025/t009-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t021-02.dzn:cp2025/t021-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-03.dzn:cp2025/t017-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-06.dzn:cp2025/t019-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-04.dzn:cp2025/t019-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-01.dzn:cp2025/t017-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-01.dzn:cp2025/t009-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-04.dzn:cp2025/t007-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-01.dzn:cp2025/t005-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-04.dzn:cp2025/t015-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-05.dzn:cp2025/t015-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t050-01.dzn:cp2025/t050-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-05.dzn:cp2025/t007-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t021-01.dzn:cp2025/t021-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-05.dzn:cp2025/t019-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-04.dzn:cp2025/t017-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-01.dzn:cp2025/t019-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-01.dzn:cp2025/t007-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-04.dzn:cp2025/t009-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-04.dzn:cp2025/t005-04-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-01.dzn:cp2025/t015-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t040-01.dzn:cp2025/t040-01-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-05.dzn:cp2025/t005-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-05.dzn:cp2025/t009-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-05.dzn:cp2025/t017-05-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-02.dzn:cp2025/t019-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-02.dzn:cp2025/t007-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-02.dzn:cp2025/t015-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t040-03.dzn:cp2025/t040-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t040-02.dzn:cp2025/t040-02-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t015-03.dzn:cp2025/t015-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t005-06.dzn:cp2025/t005-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t009-06.dzn:cp2025/t009-06-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t007-03.dzn:cp2025/t007-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t019-03.dzn:cp2025/t019-03-warmstart.json
cp2025,../models/solve_endtimes.mzn:../models/pddl-print.mzn,cp2025/t017-06.dzn:cp2025/t017-06-warmstart.json
